Agency,location,bedrooms,bathrooms,price
Wealthlink Realtors Ltd,"Kahawa West, Roysambu",3,2,55000
Furaha Properties,"Mombasa CBD, Mombasa CBD",3,2,55000
Splendour Real Estate,"Kahawa West, Roysambu",3,1,55000
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road",3,3,55000
Pmc Estates Limited,"Kiambu Road, Kiambu Road",3,3,55000
Phillavilla,"Mountain View, Westlands",2,2,55000
Trisums Investments Company Limited,"Kitisuru, Westlands",2,2,55000
Canaan Properties,"Kilimani, Dagoretti North",2,2,55000
Abec Real Estate,"Mwimuto, New Kitusuru, Westlands",2,2,55000
Habitat Realtors International Ltd,"Karenend Apartments, Karinde, Karen, Langata",2,2,55000
Prudential Green Ville,"waiyaki, waiyaki, Loresho, Westlands",2,2,55000
Homekenya24,"Thindigua, Thindigua",3,3,55000
Range Wide Properties,"Lavington, Dagoretti North",2,2,55000
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,55000
Origin Homes,"Kilimani, Dagoretti North",1,1,55000
Citiscape Valuers And Estate Agents Ltd,"Kileleshwa, Dagoretti North",3,3,55000
Absolute Estate Agents,"Kileleshwa, Dagoretti North",3,3,55000
Pmc Estates Limited,"Statehouse Crescent, Off Statehouse Road, State House, Dagoretti North",2,1,55000
Pmc Estates Limited,"Kileleshwa, Dagoretti North",2,1,55000
Civic Capital,"Upper Hill, Langata",2,1,55000
Red Knot Limited,"kinoo 87/Uthiru, Kinoo, Kabete",3,3,55000
Apogee Realty Homes,"Thindigua, Kiambu Road, Kiambu Road",3,2,56000
Wealthlink Realtors Ltd,"Thindigua, Thindigua",3,3,56000
Royani Properties Limited,"Thika Road, Kahawa, Roysambu",4,2,57750
City Homes Kenya Real Estate,"Kangundo Road, Kileleshwa, Dagoretti North",2,2,58000
Crystal Valuers Ltd,"Chinga Dam Apartments, Iregi Road, Parklands, Westlands",3,2,58500
City Homes Kenya Real Estate,"Rhapta road, Rhapta Road, Westlands",2,2,59000
Swiveltrend Ltd,"Loresho, Westlands",3,3,60000
Regent Management Ltd,"Naivasha Road, Dagoretti North",3,2,60000
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North",1,1,60000
Green Knight Properties,"George Pardmore lane, Kilimani, Dagoretti North",1,1,60000
Canaan Properties,"Jamhuri, Ngong",3,2,60000
Canaan Properties,"Lavington, Dagoretti North",2,2,60000
Real Management Services 2002Limited,"1, Riara, Kilimani, Dagoretti North",2,1,60000
Absolute Estate Agents,"Kileleshwa, Dagoretti North",2,2,60000
Paradigm Homes,"Riara Road, Dagoretti North",2,2,60000
Lavingtonmanagement,"Riara, Lavington, Dagoretti North",2,1,60000
Lavingtonmanagement,"Kasuku Center, Kileleshwa, Dagoretti North",3,2,60000
Prudential Green Ville,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North",2,2,60000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,60000
Prudential Green Ville,"lavington, lavington, Lavington, Dagoretti North",2,2,60000
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North",1,1,60000
Buy Rent Shelters,"Loresho, Loresho, Westlands",2,2,60000
Naftal Properties,"Kilimani, Dagoretti North",2,2,60000
Naftal Properties,"Kileleshwa, Dagoretti North",2,1,60000
Liflac Properties,"Loresho, Westlands",3,2,60000
Cfs Homes,"Westlands Area, Westlands",2,2,60000
Phillavilla,"Kileleshwa, Dagoretti North",2,1,60000
Swiveltrend Ltd,"Thindigua, Thindigua",3,2,60000
Swiveltrend Ltd,"KIAMBU ROAD, Ruaka, Kiambaa",3,3,60000
